key,doi,title,year,venue,authors,n_authors,cited,retracted,type,volume,issue,first_page,last_page,status,acs,num
yscramble,10.1016/s1093-3263(01)00123-1,Beware of q2!,2002,Journal of Molecular Graphics and Modelling,Alexander Golbraikh; Alexander Tropsha,2,3701,False,article,20,4,269,276,verified,"Golbraikh, A.; Tropsha, A.. Beware of q2!. Journal of Molecular Graphics and Modelling 2002, 20, 269-276.  DOI: 10.1016/s1093-3263(01)00123-1.",33
shap2017,10.48550/arXiv.1705.07874,A Unified Approach to Interpreting Model Predictions,2017,arXiv (Cornell University),Scott Lundberg; Su‐In Lee,2,7622,False,preprint,,,,,verified,"Lundberg, S.; Lee, S.. A Unified Approach to Interpreting Model Predictions. arXiv (Cornell University) 2017.  DOI: 10.48550/arXiv.1705.07874.",34
treeshap2020,10.1038/s42256-019-0138-9,From local explanations to global understanding with explainable AI for trees,2020,Nature Machine Intelligence,Scott Lundberg; Gabriel Erion; Hugh Chen; Alex J. DeGrave; Jordan M. Prutkin; Bala G. Nair; Ronit Katz; Jonathan Himmelfarb; Nisha Bansal; Su‐In Lee,10,9333,False,article,2,1,56,67,verified,"Lundberg, S.; Erion, G.; Chen, H.; DeGrave, A. J.; Prutkin, J. M.; Nair, B. G.; Katz, R.; Himmelfarb, J.; Bansal, N.; Lee, S.. From local explanations to global understanding with explainable AI for trees. Nature Machine Intelligence 2020, 2, 56-67.  DOI: 10.1038/s42256-019-0138-9.",35
umap2018,10.48550/arXiv.1802.03426,UMAP: Uniform Manifold Approximation and Projection for Dimension Reduction,2018,arXiv (Cornell University),"Leland McInnes; John J. Healy; Melville, James",3,7592,False,preprint,,,,,verified,"McInnes, L.; Healy, J. J.; James, M.. UMAP: Uniform Manifold Approximation and Projection for Dimension Reduction. arXiv (Cornell University) 2018.  DOI: 10.48550/arXiv.1802.03426.",36
butina1999,10.1021/ci9803381,Unsupervised Data Base Clustering Based on Daylight's Fingerprint and Tanimoto Similarity: A Fast and Automated Way To Cluster Small and Large Data Sets,1999,Journal of Chemical Information and Computer Sciences,Darko Butina,1,631,False,article,39,4,747,750,verified,"Butina, D.. Unsupervised Data Base Clustering Based on Daylight's Fingerprint and Tanimoto Similarity: A Fast and Automated Way To Cluster Small and Large Data Sets. Journal of Chemical Information and Computer Sciences 1999, 39, 747-750.  DOI: 10.1021/ci9803381.",37
pains2010,10.1021/jm901137j,New Substructure Filters for Removal of Pan Assay Interference Compounds (PAINS) from Screening Libraries and for Their Exclusion in Bioassays,2010,Journal of Medicinal Chemistry,Jonathan B. Baell; Georgina A. Holloway,2,3989,False,article,53,7,2719,2740,verified,"Baell, J. B.; Holloway, G. A.. New Substructure Filters for Removal of Pan Assay Interference Compounds (PAINS) from Screening Libraries and for Their Exclusion in Bioassays. Journal of Medicinal Chemistry 2010, 53, 2719-2740.  DOI: 10.1021/jm901137j.",38
brenk2008,10.1002/cmdc.200700139,Lessons Learnt from Assembling Screening Libraries for Drug Discovery for Neglected Diseases,2007,ChemMedChem,Ruth Brenk; Alessandro Schipani; Daniel James; Agata Krasowski; Ian H. Gilbert; Julie A. Frearson; Paul G. Wyatt,7,703,False,article,3,3,435,444,verified,"Brenk, R.; Schipani, A.; James, D.; Krasowski, A.; Gilbert, I. H.; Frearson, J. A.; Wyatt, P. G.. Lessons Learnt from Assembling Screening Libraries for Drug Discovery for Neglected Diseases. ChemMedChem 2007, 3, 435-444.  DOI: 10.1002/cmdc.200700139.",39
calibration_niculescu,10.1145/1102351.1102430,Predicting good probabilities with supervised learning,2005,Proceedings of the 22nd International Conference on Machine Learning (ICML),Alexandru Niculescu-Mizil; Rich Caruana,2,1664,False,conference-paper,,,625,632,verified (venue supplied manually: OpenAlex venue field empty),"Niculescu-Mizil, A.; Caruana, R.. Predicting good probabilities with supervised learning. Proceedings of the 22nd International Conference on Machine Learning (ICML) 2005, 625-632.  DOI: 10.1145/1102351.1102430.",40
lipinski2001,10.1016/S0169-409X(96)00423-1,Experimental and computational approaches to estimate solubility and permeability in drug discovery and development settings,1997,Advanced Drug Delivery Reviews,Christopher A. Lipinski; Franco Lombardo; Beryl W. Dominy; Paul J. Feeney,4,11316,False,article,23,1-3,3,25,verified,"Lipinski, C. A.; Lombardo, F.; Dominy, B. W.; Feeney, P. J.. Experimental and computational approaches to estimate solubility and permeability in drug discovery and development settings. Advanced Drug Delivery Reviews 1997, 23, 3-25.  DOI: 10.1016/S0169-409X(96)00423-1.",41
veber2002,10.1021/jm020017n,Molecular Properties That Influence the Oral Bioavailability of Drug Candidates,2002,Journal of Medicinal Chemistry,Daniel F. Veber; Stephen R. Johnson; Hung‐Yuan Cheng; Brian R. Smith; Keith W. Ward; Kenneth D. Kopple,6,8203,False,article,45,12,2615,2623,verified,"Veber, D. F.; Johnson, S. R.; Cheng, H.; Smith, B. R.; Ward, K. W.; Kopple, K. D.. Molecular Properties That Influence the Oral Bioavailability of Drug Candidates. Journal of Medicinal Chemistry 2002, 45, 2615-2623.  DOI: 10.1021/jm020017n.",42
waring2015,10.1038/nrd4609,An analysis of the attrition of drug candidates from four major pharmaceutical companies,2015,Nature Reviews Drug Discovery,Michael J. Waring; John Arrowsmith; Andrew R. Leach; Paul D. Leeson; Sam Mandrell; Robert M. Owen; Garry Pairaudeau; William D. Pennie; Stephen D. Pickett; Ji‐Bo Wang; Owen B. Wallace; Alex. M. Weir,12,1424,False,article,14,7,475,486,verified,"Waring, M. J.; Arrowsmith, J.; Leach, A. R.; Leeson, P. D.; Mandrell, S.; Owen, R. M.; Pairaudeau, G.; Pennie, W. D.; Pickett, S. D.; Wang, J.; et al.. An analysis of the attrition of drug candidates from four major pharmaceutical companies. Nature Reviews Drug Discovery 2015, 14, 475-486.  DOI: 10.1038/nrd4609.",43
